Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,TrialGroup,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
C,Training,7,Who did it?,covered,NA,NA,NA,Question_Control,1,InstControl,,whodidit.mp3,tom.png,kate.png,kate.png,tom.png,2,incongruent,congruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/whodidit.mp3?raw=true,0.171504741
C,Training,131,Tom slapped the buffalo with the spoon,slapped,buffalo,spoon,buffaloladle,Sentence,1,InstControl,11,tombuffalospoon_nopauses.mp3,tombuffalospooninstleft_context.png,tombuffalospoonmodright_context.png,tombuffalospoonmodright_context.png,tombuffalospooninstleft_context.png,2,mod,inst,R,L,557,3123,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tombuffalospoonmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tombuffalospooninstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/tombuffalospoon_nopauses.mp3?raw=true,0.173563066
C,Training,131,Who did it?,slapped,NA,NA,NA,Question_Control,1,InstControl,,whodidit.mp3,tom.png,kate.png,kate.png,tom.png,2,incongruent,congruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/whodidit.mp3?raw=true,0.173563066
C,Training,124,Kate slapped the lion with the spatula,slapped,lion,spatula,lionmallet,Sentence,1,InstControl,4,katelionspatula_nopauses.mp3,katelionspatulainstright_context.png,katelionspatulamodleft_context.png,katelionspatulainstright_context.png,katelionspatulamodleft_context.png,1,inst,mod,L,R,417,3213,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/katelionspatulainstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/katelionspatulamodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/katelionspatula_nopauses.mp3?raw=true,0.185989479
C,Training,124,Who did it?,slapped,NA,NA,NA,Question_Control,1,InstControl,,whodidit.mp3,kate.png,tom.png,tom.png,kate.png,2,incongruent,congruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/whodidit.mp3?raw=true,0.185989479
C,Training,87,Tom rubbed the fox with the megaphone,rubbed,fox,megaphone,foxtennisracket,Sentence,1,InstControl,3,tomfoxmegaphone_nopauses.mp3,tomfoxmegaphoneinstright_context.png,tomfoxmegaphonemodleft_context.png,tomfoxmegaphoneinstright_context.png,tomfoxmegaphonemodleft_context.png,1,inst,mod,L,R,589,3499,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tomfoxmegaphoneinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tomfoxmegaphonemodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/tomfoxmegaphone_nopauses.mp3?raw=true,0.192086179
C,Training,87,Who did it?,rubbed,NA,NA,NA,Question_Control,1,InstControl,,whodidit.mp3,tom.png,kate.png,kate.png,tom.png,2,incongruent,congruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/whodidit.mp3?raw=true,0.192086179
C,Training,102,Kate crushed the turtle with the tweezers,crushed,turtle,tweezers,turtlemallet,Sentence,1,InstControl,6,kateturtletweezers_nopauses.mp3,kateturtletweezersinstright_context.png,kateturtletweezersmodleft_context.png,kateturtletweezersinstright_context.png,kateturtletweezersmodleft_context.png,1,inst,mod,L,R,416,3035,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kateturtletweezersinstright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kateturtletweezersmodleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/kateturtletweezers_nopauses.mp3?raw=true,0.207850463
C,Training,102,Who did it?,crushed,NA,NA,NA,Question_Control,1,InstControl,,whodidit.mp3,kate.png,tom.png,kate.png,tom.png,1,congruent,incongruent,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/whodidit.mp3?raw=true,0.207850463
C,Training,49,Tom tapped the dolphin with the jewel,tapped,dolphin,jewel,dolphinmallet,Sentence,1,InstControl,1,tomdolphinjewel_nopauses.mp3,tomdolphinjewelinstleft_context.png,tomdolphinjewelmodright_context.png,tomdolphinjewelmodright_context.png,tomdolphinjewelinstleft_context.png,2,mod,inst,R,L,600,2825,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tomdolphinjewelmodright_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list1_training_context/tomdolphinjewelinstleft_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list1_training/tomdolphinjewel_nopauses.mp3?raw=true,0.212141068
