TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,TrialGroup,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
130,Training,46,What did Kate use?,chose,NA,NA,Question_Incongruent,1,Mod,,whatdidkateuse.mp3,stickynote.png,tape.png,stickynote.png,tape.png,1,congruent,incongruent,NA,NA,1,1405,0.887284571,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/stickynote.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tape.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidkateuse.mp3?raw=true
131,Training,58,Kate glanced at the gorilla with the crystal,glanced at,gorilla,crystal,Sentence,1,Mod,10,kategorillacrystal_nopauses.mp3,kategorillacrystalmodleft.png,kategorillacrystalinstright.png,kategorillacrystalinstright.png,kategorillacrystalmodleft.png,2,inst,mod,L,R,391,3039,0.895966288,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kategorillacrystalinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kategorillacrystalmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/kategorillacrystal_nopauses.mp3?raw=true
132,Training,58,What did Kate use?,glanced at,NA,NA,Question_Incongruent,1,Mod,,whatdidkateuse.mp3,crystal.png,jewel.png,crystal.png,jewel.png,1,congruent,incongruent,NA,NA,1,1405,0.895966288,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/crystal.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/jewel.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidkateuse.mp3?raw=true
133,Training,56,Kate glanced at the girl with the crystal,glanced at,girl,crystal,Sentence,1,Mod,8,kategirlcrystal_nopauses.mp3,kategirlcrystalmodleft.png,kategirlcrystalinstright.png,kategirlcrystalinstright.png,kategirlcrystalmodleft.png,2,inst,mod,L,R,428,2749,0.898455713,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kategirlcrystalinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kategirlcrystalmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/kategirlcrystal_nopauses.mp3?raw=true
134,Training,56,What did Kate use?,glanced at,NA,NA,Question_Incongruent,1,Mod,,whatdidkateuse.mp3,crystal.png,jewel.png,jewel.png,crystal.png,2,incongruent,congruent,NA,NA,1,1405,0.898455713,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/jewel.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/crystal.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidkateuse.mp3?raw=true
135,Training,33,Tom moved the whale with the pan,moved,whale,pan,Sentence,1,Mod,9,tomwhalepan_nopauses.mp3,tomwhalepanmodright.png,tomwhalepaninstleft.png,tomwhalepanmodright.png,tomwhalepaninstleft.png,1,mod,inst,R,L,512,2374,0.90133859,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomwhalepanmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomwhalepaninstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/tomwhalepan_nopauses.mp3?raw=true
136,Training,33,What did Tom use?,moved,NA,NA,Question_Incongruent,1,Mod,,whatdidtomuse.mp3,pan.png,wateringcan.png,pan.png,wateringcan.png,1,congruent,incongruent,NA,NA,1,1544,0.90133859,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/pan.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/wateringcan.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidtomuse.mp3?raw=true
137,Training,57,Tom glanced at the whale with the crystal,glanced at,whale,crystal,Sentence,1,Mod,9,tomwhalecrystal_nopauses.mp3,tomwhalecrystalmodright.png,tomwhalecrystalinstleft.png,tomwhalecrystalmodright.png,tomwhalecrystalinstleft.png,1,mod,inst,R,L,557,2915,0.920660722,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomwhalecrystalmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomwhalecrystalinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/tomwhalecrystal_nopauses.mp3?raw=true
138,Training,57,What did Tom use?,glanced at,NA,NA,Question_Incongruent,1,Mod,,whatdidtomuse.mp3,crystal.png,jewel.png,crystal.png,jewel.png,1,congruent,incongruent,NA,NA,1,1544,0.920660722,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/crystal.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/jewel.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidtomuse.mp3?raw=true
139,Training,18,Kate felt the turtle with the leaf,felt,turtle,leaf,Sentence,1,Mod,6,kateturtleleaf_nopauses.mp3,kateturtleleafmodright.png,kateturtleleafinstleft.png,kateturtleleafmodright.png,kateturtleleafinstleft.png,1,mod,inst,R,L,417,1970,0.959850562,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kateturtleleafmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kateturtleleafinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/kateturtleleaf_nopauses.mp3?raw=true
